Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,Gpu brand
Apple,Ultrabook,8,Mac,1.3700000047683716,0,1,226.98300468106115,Intel Core i5,Intel
Apple,Ultrabook,8,Mac,1.340000033378601,0,0,127.67794013309688,Intel Core i5,Intel
HP,Notebook,8,Other,1.8600000143051147,0,0,141.21199808219862,Intel Core i5,Intel
Apple,Ultrabook,16,Mac,1.8300000429153442,0,1,220.53462386625827,Intel Core i7,AMD
Apple,Ultrabook,8,Mac,1.3700000047683716,0,1,226.98300468106115,Intel Core i5,Intel
Acer,Notebook,4,Windows,2.0999999046325684,0,0,100.45466986113651,AMD Processor,AMD
Apple,Ultrabook,16,Mac,2.0399999618530273,0,1,220.53462386625827,Intel Core i7,Intel
Apple,Ultrabook,8,Mac,1.340000033378601,0,0,127.67794013309688,Intel Core i5,Intel
Asus,Ultrabook,16,Windows,1.2999999523162842,0,0,157.3505121487356,Intel Core i7,Nvidia
Acer,Ultrabook,8,Windows,1.600000023841858,0,1,157.3505121487356,Intel Core i5,Intel
HP,Notebook,4,Other,1.8600000143051147,0,0,100.45466986113651,Intel Core i5,Intel
HP,Notebook,4,Other,1.8600000143051147,0,0,141.21199808219862,Intel Core i3,Intel
Apple,Ultrabook,16,Mac,1.8300000429153442,0,1,220.53462386625827,Intel Core i7,AMD
Dell,Notebook,4,Windows,2.200000047683716,0,0,141.21199808219862,Intel Core i3,AMD
Apple,Ultrabook,8,Mac,0.9200000166893005,0,1,226.41554716935852,Other Intel Processor,Intel
Apple,Ultrabook,8,Mac,1.3700000047683716,0,1,226.98300468106115,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.200000047683716,0,0,141.21199808219862,Intel Core i7,AMD
Apple,Ultrabook,16,Mac,1.8300000429153442,0,1,220.53462386625827,Intel Core i7,AMD
Lenovo,Notebook,8,Other,2.200000047683716,0,0,141.21199808219862,Intel Core i3,Nvidia
Dell,Ultrabook,8,Windows,1.2200000286102295,1,1,165.6321180513006,Intel Core i5,Intel
Asus,Netbook,2,Windows,0.9800000190734863,0,0,135.0942111925629,Other Intel Processor,Intel
Lenovo,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,Nvidia
HP,Notebook,4,Other,1.8600000143051147,0,0,100.45466986113651,AMD Processor,AMD
Dell,2 in 1 Convertible,8,Windows,1.6200000047683716,1,0,165.6321180513006,Intel Core i5,Intel
HP,Ultrabook,8,Windows,1.909999966621399,0,0,141.21199808219862,Intel Core i7,Intel
Dell,Notebook,4,Windows,2.299999952316284,0,0,100.45466986113651,Intel Core i3,Intel
Apple,Ultrabook,8,Mac,1.350000023841858,0,0,127.67794013309688,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.200000047683716,0,0,141.21199808219862,Intel Core i5,AMD
Dell,Ultrabook,8,Windows,1.8799999952316284,0,0,141.21199808219862,Intel Core i7,Intel
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,Nvidia
Chuwi,Notebook,4,Windows,1.8899999856948853,0,0,141.21199808219862,Other Intel Processor,Intel
Asus,Notebook,2,Windows,1.649999976158142,0,0,111.93520355955211,AMD Processor,AMD
HP,Notebook,4,Windows,2.7100000381469727,0,0,127.33567457123111,AMD Processor,AMD
Dell,Ultrabook,16,Windows,1.2000000476837158,1,0,276.053530085501,Intel Core i7,Intel
Apple,Ultrabook,8,Mac,1.350000023841858,0,0,127.67794013309688,Intel Core i5,Intel
Lenovo,Notebook,4,Windows,1.440000057220459,0,0,111.93520355955211,Other Intel Processor,Intel
Acer,Notebook,4,Other,2.0999999046325684,0,0,100.45466986113651,Intel Core i3,Intel
Dell,Notebook,8,Windows,2.799999952316284,0,1,127.33567457123111,Intel Core i5,AMD
HP,Notebook,4,Windows,1.8600000143051147,0,0,100.45466986113651,Intel Core i5,Intel
HP,Notebook,8,Windows,2.0999999046325684,0,0,141.21199808219862,Intel Core i5,Nvidia
Asus,Notebook,4,Other,2.0,0,0,141.21199808219862,Intel Core i3,Intel
Dell,Gaming,16,Windows,2.6500000953674316,0,1,141.21199808219862,Intel Core i7,Nvidia
Asus,Notebook,8,Other,2.299999952316284,0,0,100.45466986113651,Intel Core i5,Nvidia
Acer,Notebook,4,Windows,2.200000047683716,0,1,141.21199808219862,Intel Core i5,Intel
Dell,2 in 1 Convertible,12,Windows,2.7699999809265137,1,0,127.33567457123111,Intel Core i5,Nvidia
Apple,Ultrabook,8,Mac,1.3700000047683716,0,1,226.98300468106115,Intel Core i5,Intel
Lenovo,Notebook,4,Other,2.200000047683716,0,0,100.45466986113651,Intel Core i3,Intel
Asus,Gaming,8,Windows,3.200000047683716,0,0,127.33567457123111,AMD Processor,AMD
Dell,Notebook,4,Windows,2.299999952316284,0,0,141.21199808219862,Intel Core i5,AMD
Asus,Notebook,4,Windows,2.799999952316284,0,0,90.58340172449303,Other Intel Processor,Nvidia
Lenovo,2 in 1 Convertible,4,Other,0.6899999976158142,1,1,224.17380907857276,Other Intel Processor,Intel
Acer,Notebook,8,Windows,2.200000047683716,0,1,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,4,Windows,1.8600000143051147,0,0,141.21199808219862,AMD Processor,AMD
HP,Notebook,8,Windows,1.4900000095367432,0,0,165.6321180513006,Intel Core i7,Intel
Acer,Notebook,4,Windows,2.4000000953674316,0,0,100.45466986113651,Intel Core i3,Intel
Dell,Notebook,8,Windows,2.130000114440918,0,0,141.21199808219862,Intel Core i7,AMD
HP,Notebook,4,Windows,1.909999966621399,0,0,141.21199808219862,Intel Core i3,Intel
Asus,Notebook,4,Windows,2.0,0,0,100.45466986113651,Intel Core i5,Intel
MSI,Gaming,16,Windows,2.430000066757202,0,0,127.33567457123111,Intel Core i7,Nvidia
Asus,Notebook,4,Other,2.0,0,0,141.21199808219862,Intel Core i3,Intel
Dell,Notebook,16,Windows,2.799999952316284,0,0,127.33567457123111,Intel Core i7,AMD
Dell,Ultrabook,8,Windows,1.7000000476837158,0,0,157.3505121487356,Intel Core i5,Intel
Lenovo,Notebook,8,Other,1.7000000476837158,0,1,157.3505121487356,Intel Core i3,Intel
Asus,Notebook,8,Windows,1.399999976158142,0,0,157.3505121487356,Intel Core i5,Intel
HP,Notebook,8,Windows,1.8600000143051147,0,0,141.21199808219862,Intel Core i5,Intel
Asus,Ultrabook,16,Windows,1.7999999523162842,0,0,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,4,Windows,1.8600000143051147,0,0,100.45466986113651,Intel Core i3,AMD
HP,Notebook,4,Windows,1.440000057220459,0,0,111.93520355955211,Other Intel Processor,Intel
Lenovo,Notebook,4,Windows,1.899999976158142,0,0,141.21199808219862,Intel Core i5,Intel
Asus,Gaming,12,Other,3.0,0,0,127.33567457123111,Intel Core i7,Nvidia
Microsoft,Ultrabook,4,Windows,1.2519999742507935,1,0,200.84255993695703,Intel Core i5,Intel
Dell,Ultrabook,8,Windows,1.399999976158142,0,1,165.6321180513006,Intel Core i7,AMD
Dell,Notebook,8,Windows,2.200000047683716,0,0,141.21199808219862,Intel Core i7,AMD
MSI,Gaming,8,Windows,2.700000047683716,0,0,127.33567457123111,Intel Core i5,Nvidia
Acer,Notebook,8,Windows,2.0999999046325684,0,0,111.93520355955211,Intel Core i3,Intel
Asus,Gaming,8,Windows,2.200000047683716,0,0,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,8,Other,2.200000047683716,0,0,141.21199808219862,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.0199999809265137,0,0,141.21199808219862,Intel Core i7,Intel
Acer,Notebook,4,Windows,2.200000047683716,0,0,141.21199808219862,Intel Core i3,Nvidia
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,Nvidia
Dell,Ultrabook,8,Windows,1.8799999952316284,0,1,141.21199808219862,Intel Core i5,Intel
Apple,Ultrabook,8,Mac,0.9200000166893005,0,1,226.41554716935852,Intel Core i5,Intel
HP,Notebook,8,Windows,1.6299999952316284,0,0,157.3505121487356,Intel Core i5,Intel
Lenovo,Notebook,4,Windows,2.200000047683716,0,0,141.21199808219862,AMD Processor,AMD
Acer,Notebook,4,Windows,2.0999999046325684,0,0,100.45466986113651,AMD Processor,AMD
Dell,Gaming,16,Windows,2.6500000953674316,0,1,141.21199808219862,Intel Core i7,Nvidia
HP,Ultrabook,8,Windows,1.8300000429153442,0,1,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,8,Windows,1.9600000381469727,0,0,141.21199808219862,Intel Core i5,Intel
Asus,Gaming,16,Windows,2.200000047683716,0,1,141.21199808219862,Intel Core i7,Nvidia
Dell,Ultrabook,8,Windows,1.2100000381469727,0,1,165.6321180513006,Intel Core i7,Intel
Asus,Gaming,8,Windows,2.450000047683716,0,0,141.21199808219862,AMD Processor,AMD
Acer,Notebook,8,Windows,2.200000047683716,0,0,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,16,Windows,1.4900000095367432,0,0,165.6321180513006,Intel Core i7,Intel
Dell,Gaming,8,Windows,2.6500000953674316,0,0,141.21199808219862,Intel Core i5,Nvidia
Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121487356,Intel Core i7,Intel
Acer,2 in 1 Convertible,8,Windows,1.5,1,1,165.6321180513006,Intel Core i5,Intel
Dell,Notebook,8,Other,2.200000047683716,0,0,141.21199808219862,Intel Core i7,AMD
Dell,Notebook,4,Other,2.200000047683716,0,0,141.21199808219862,Intel Core i3,AMD
Asus,Notebook,6,Windows,2.0,0,0,141.21199808219862,Intel Core i3,Nvidia
HP,Gaming,12,Windows,2.619999885559082,0,1,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,8,Windows,1.909999966621399,0,0,141.21199808219862,Intel Core i7,AMD
HP,Notebook,4,Windows,2.0999999046325684,0,0,141.21199808219862,AMD Processor,AMD
Dell,Notebook,8,Other,2.200000047683716,0,0,141.21199808219862,Intel Core i5,AMD
HP,Ultrabook,8,Windows,1.3799999952316284,0,1,165.6321180513006,Intel Core i7,Nvidia
Microsoft,Ultrabook,8,Windows,1.2519999742507935,1,0,200.84255993695703,Intel Core i5,Intel
HP,Notebook,6,Windows,1.5800000429153442,0,1,157.3505121487356,Intel Core i5,Nvidia
Lenovo,Notebook,4,Windows,1.850000023841858,0,0,141.21199808219862,Intel Core i3,Intel
Asus,Ultrabook,8,Windows,1.2999999523162842,0,1,157.3505121487356,Intel Core i7,Nvidia
